room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,last_modified
8921549,42564954,Entire home/apt,Noord West,29,4.5,3,1,43,12/28/16
10795403,4666875,Entire home/apt,Westerpark,2,0,2,1,43,12/28/16
7783993,40959150,Entire home/apt,Oud Noord,11,3.5,3,1,54,12/28/16
15445259,99062415,Entire home/apt,Oostelijk Havengebied / Indische Buurt,1,0,2,1,54,12/28/16
5698994,29550009,Entire home/apt,De Pijp / Rivierenbuurt,1,0,2,0,54,12/28/16
1064499,5858811,Entire home/apt,Noord West,2,0,3,2,54,12/28/16
7756564,39143552,Entire home/apt,Noord-West / Noord-Midden,120,4.5,2,1,48,12/28/16
11684742,24651625,Entire home/apt,Bijlmer Oost,55,4,2,1,54,12/28/16
13767360,50431845,Entire home/apt,De Pijp / Rivierenbuurt,3,5,4,1,55,12/28/16
13742340,6695581,Entire home/apt,Bos en Lommer,1,0,2,1,48,12/28/16
6694857,35046343,Entire home/apt,Bos en Lommer,30,4.5,4,1,54,12/28/16
984989,5403147,Entire home/apt,Bos en Lommer,235,5,2,0,60,12/28/16
9848959,3158611,Entire home/apt,De Pijp / Rivierenbuurt,3,5,4,2,36,12/28/16
15626614,60409350,Entire home/apt,Centrum Oost,0,0,16,1,3384,12/28/16
11486321,3256150,Entire home/apt,Noord-West / Noord-Midden,0,0,4,2,1615,12/28/16
16311694,48674067,Entire home/apt,Buitenveldert / Zuidas,0,0,4,1,5385,12/28/16
4394074,22806302,Entire home/apt,Noord-West / Noord-Midden,10,5,8,5,1050,12/28/16
6423150,33510643,Entire home/apt,Westerpark,3,4.5,10,5,1077,12/28/16
13680797,18532615,Entire home/apt,Geuzenveld / Slotermeer,0,0,6,2,1244,12/28/16
785244,4139821,Entire home/apt,Centrum West,21,4.5,16,4,1346,12/28/16
5587500,21831151,Entire home/apt,Oud Noord,2,0,6,3,1405,12/28/16
16423041,53168103,Entire home/apt,Noord-West / Noord-Midden,0,0,12,6,1075,12/28/16
15870523,19908943,Entire home/apt,Centrum Oost,1,0,4,2,1077,12/28/16
14419950,88724188,Entire home/apt,Oostelijk Havengebied / Indische Buurt,2,0,16,10,753,12/28/16
3332424,11224822,Entire home/apt,Centrum West,6,5,6,5,964,12/28/16
8109857,42822106,Entire home/apt,Centrum Oost,5,5,6,3,808,12/28/16
7317427,16800846,Entire home/apt,Centrum West,4,5,10,5,806,12/28/16
553216,1600010,Entire home/apt,Centrum West,32,5,4,2,808,12/28/16
12535339,344280,Entire home/apt,Noord-West / Noord-Midden,0,0,5,3,968,12/28/16
11176673,8121342,Entire home/apt,Centrum Oost,0,0,5,3,754,12/28/16
16191732,41042925,Entire home/apt,Centrum West,0,0,8,4,968,12/28/16
10086914,6427770,Entire home/apt,De Pijp / Rivierenbuurt,0,0,10,5,808,12/28/16
14749248,2193973,Entire home/apt,Centrum West,0,0,4,2,808,12/28/16
6717883,16795608,Entire home/apt,Noord-West / Noord-Midden,18,5,10,6,754,12/28/16
15542104,99589737,Entire home/apt,Noord-West / Noord-Midden,0,0,10,6,1023,12/28/16
16334750,17957337,Entire home/apt,Centrum West,0,0,9,5,806,12/28/16
10666791,55097200,Entire home/apt,Centrum West,9,5,6,3,808,12/28/16
6913671,36231152,Entire home/apt,Geuzenveld / Slotermeer,0,0,2,2,969,12/28/16
16185146,41042925,Entire home/apt,Centrum West,0,0,13,7,808,12/28/16
779225,4108797,Entire home/apt,Oostelijk Havengebied / Indische Buurt,114,4.5,6,3,1030,12/28/16
2059078,9957140,Entire home/apt,Centrum West,8,5,10,5,860,12/28/16
6568165,34271366,Entire home/apt,Ijburg / Eiland Zeeburg,0,0,6,4,646,12/28/16
1650475,6942600,Entire home/apt,Watergraafsmeer,0,0,4,3,539,12/28/16
4538960,23171451,Entire home/apt,Oud Noord,21,4.5,16,8,550,12/28/16
780844,3357851,Entire home/apt,Westerpark,7,4,16,10,700,12/28/16
4614017,23667032,Entire home/apt,Westerpark,6,4.5,16,5,539,12/28/16
6485791,871328,Entire home/apt,De Pijp / Rivierenbuurt,19,5,8,4,592,12/28/16
14421959,88724188,Entire home/apt,Oostelijk Havengebied / Indische Buurt,3,5,16,10,699,12/28/16
5260221,14153634,Entire home/apt,Centrum Oost,5,5,4,2,539,12/28/16
5093992,26320053,Entire home/apt,De Baarsjes / Oud West,6,5,6,3,699,12/28/16
16046981,14358485,Entire home/apt,De Pijp / Rivierenbuurt,0,0,8,4,582,12/28/16
1914964,8982547,Entire home/apt,Centrum West,22,5,4,3,539,12/28/16
4857657,4724741,Entire home/apt,Centrum Oost,16,5,4,2,534,12/28/16
6115932,15799675,Entire home/apt,Centrum Oost,10,4.5,4,3,539,12/28/16
